,Label,preprocess_tweet,tweet_norm
20,Mendukung,unit kerja lg terima mahasiswa program magang kampus merdeka ntar testi aahhhh testi org sipil yg kasi sempat kerja bbrp perintah sesuai ekspektasi gmn,unit kerja lg terima mahasiswa program magang kampus merdeka ntar testi aahhhh testi org sipil yg kasi sempat kerja bbrp perintah sesuai ekspektasi gmn
21,Mendukung,dan cipeng saran aja semester program kampus merdeka studi independensemacam coursebootcamp bootcamp bagus gratis guna bgt ilmu krn diajarin dr basic,dan cipeng saran aja semester program kampus merdeka studi independensemacam coursebootcamp bootcamp bagus gratis guna bgt ilmu krn diajarin dr basic
22,Mendukung,jujur alumni x program kampus merdeka program bagus fasilitasin negara tinggal niat ajar aja dikuatin tri didik lanjutin program,jujur alumni x program kampus merdeka program bagus fasilitasin negara tinggal niat ajar aja dikuatin tri didik lanjutin program
23,Mendukung,jujur rada iri ama program kampus merdeka anjrit w jg ken magang tri,jujur rada iri ama program kampus merdeka anjrit w jg ken magang tri
24,Mendukung,permisi min kenal hasri amp skrng sdg ikut program magang kampus merdeka dyandra izin dyandra bikin acara exhibition mobil subay promosi acara ig hubung ya terimakasih,permisi min kenal hasri amp skrng sdg ikut program magang kampus merdeka dyandra izin dyandra bikin acara exhibition mobil subay promosi acara ig hubung ya terimakasih
25,Mendukung,hallo mahasiwa angkat target udah lulus nunggu pratoga nya aja ngga lihat program magang kampus merdeka udah tutup buka nya juni juli magang,hallo mahasiwa angkat target udah lulus nunggu pratoga nya aja ngga lihat program magang kampus merdeka udah tutup buka nya juni juli magang
26,Mendukung,gw bener bener paham gara program kampus merdeka,gw bener bener paham gara program kampus merdeka
27,Mendukung,sebenrnya gapapa program kampus merdeka kek bagi gitu jgn kampus merdeka aja rolenya beda kek gak jurus gitu ati ya,sebenrnya gapapa program kampus merdeka kek bagi gitu jgn kampus merdeka aja rolenya beda kek gak jurus gitu ati ya
28,Mendukung,ok deh gue udah anak anak gue udah gue suruh program kampus merdeka magang biar alam bejibunnn dar,ok deh gue udah anak anak gue udah gue suruh program kampus merdeka magang biar alam bejibunnn dar
29,Mendukung,mending program kampus merdeka,mending program kampus merdeka
30,Mendukung,udah jaman gak butuh organisasi alam kampus yg nama magang kampus kurikulum program perintah utk mahasiswa milik alam yg bagus kaya msib mbkm manfaat banding join ormawa,udah jaman gak butuh organisasi alam kampus yg nama magang kampus kurikulum program perintah utk mahasiswa milik alam yg bagus kaya msib mbkm manfaat banding join ormawa
31,Mendukung,mbkm msib program kampus merdeka kemarin cari info instagramnya instagram kampus suka ain informasi kait begitu grup tele,mbkm msib program kampus merdeka kemarin cari info instagramnya instagram kampus suka ain informasi kait begitu grup tele
32,Mendukung,program kampus merdeka tu taun yg semester sih open batchnya pizzz yg taw bole reppp,program kampus merdeka tu taun yg semester sih open batchnya pizzz yg taw bole reppp
33,Mendukung,kalo program luar kampus kayak kampus merdeka gitu nggak tanggung ya minimal pegang uang saku urus simpel magang stud independen aja uang pegang beli kuota bayar kos dllnya,kalo program luar kampus kayak kampus merdeka gitu nggak tanggung ya minimal pegang uang saku urus simpel magang stud independen aja uang pegang beli kuota bayar kos dllnya
34,Mendukung,mahasiswa giur sm program mbkm yg benefits salah satu material join organisasi kampus udah ga seksi,mahasiswa giur sm program mbkm yg benefits salah satu material join organisasi kampus udah ga seksi
35,Mendukung,adaa konversi jg kampus pake program kampus merdeka,adaa konversi jg kampus pake program kampus merdeka
36,Mendukung,cm magang kampus merdeka trus jurus acara ga ya izin magang acara program kerja gitu liat fakultas jurus dosen yg,cm magang kampus merdeka trus jurus acara ga ya izin magang acara program kerja gitu liat fakultas jurus dosen yg
37,Mendukung,kayak gin semester berkahir fase ikutbkegiatan kampus mengajarprodiku tawar program kampus merdeka ikut yg tawar kampus mengjar mana giat tsb pasuk angkat,kayak gin semester berkahir fase ikutbkegiatan kampus mengajarprodiku tawar program kampus merdeka ikut yg tawar kampus mengjar mana giat tsb pasuk angkat
38,Mendukung,program kampus merdeka,program kampus merdeka
39,Mendukung,kalo rencana program kampus merdeka depan pakai bri aja,kalo rencana program kampus merdeka depan pakai bri aja
40,Mendukung,program kampus merdeka kak smacam studi independen collab dri google goto sm traveloka,program kampus merdeka kak smacam studi independen collab dri google goto sm traveloka
41,Mendukung,bener helpful bgt coba aja nnti sem pantengin website kampus merdeka program dpt sertifikasi jugaaa dicobaaa,bener helpful bgt coba aja nnti sem pantengin website kampus merdeka program dpt sertifikasi jugaaa dicobaaa
42,Mendukung,ik it is an totally take it tp gue lg program kampus merdeka moga magang aussienya gue selesai kampus merdeka,ik it is an totally take it tp gue lg program kampus merdeka moga magang aussienya gue selesai kampus merdeka
43,Mendukung,base sharing khusus program kampus merdeka kemendikbudristek program kampus ajar iisma magang studi independen tukar mahasiswa merdeka,base sharing khusus program kampus merdeka kemendikbudristek program kampus ajar iisma magang studi independen tukar mahasiswa merdeka
44,Mendukung,kalo karirmu oke aja program kampus merdeka,kalo karirmu oke aja program kampus merdeka
45,Mendukung,gue sih mbkm hasil real lo dapet uang lo dapet alam lo dapet relasi kerja lo bagus magang peluang lo kerja lulus situ bem udah tenaga ngeluarin uang jg,gue sih mbkm hasil real lo dapet uang lo dapet alam lo dapet relasi kerja lo bagus magang peluang lo kerja lulus situ bem udah tenaga ngeluarin uang jg
46,Mendukung,alhamdulillah bgt terima kampus merdeka program menteri pupr udah dapet magang kp,alhamdulillah bgt terima kampus merdeka program menteri pupr udah dapet magang kp
47,Mendukung,sks ipk gue gara program kampus merdeka,sks ipk gue gara program kampus merdeka
48,Mendukung,up to date program kampus merdeka bikin plan yg aja smt,up to date program kampus merdeka bikin plan yg aja smt
49,Mendukung,program kampus merdeka yg relate dgn msib kampus ajar amp pmm,program kampus merdeka yg relate dgn msib kampus ajar amp pmm
50,Mendukung,tpi otak gue pas dah kuliah mending putus mahasiswa kupu kupu ajalebih cari relasi aja program kampus merdeka gitu yg manfaat uang,tpi otak gue pas dah kuliah mending putus mahasiswa kupu kupu ajalebih cari relasi aja program kampus merdeka gitu yg manfaat uang
51,Mendukung,duka yg dalam gabisa program kampus merdeka,duka yg dalam gabisa program kampus merdeka
52,Mendukung,hallo yg dicoding skilvul program kampus merdeka sanbercode bayar k buildwithangga bayar wktu promo dapet k pancman gratis krn cuman trial minggu,hallo yg dicoding skilvul program kampus merdeka sanbercode bayar k buildwithangga bayar wktu promo dapet k pancman gratis krn cuman trial minggu
53,Mendukung,jd inget mhs yg program kampus merdeka dr malu muka masker liat dingin tp pas buka masker muka kayak bayi,jd inget mhs yg program kampus merdeka dr malu muka masker liat dingin tp pas buka masker muka kayak bayi
54,Mendukung,program kampus merdeka aowkaow sy sgt berterimakasih kpd kemendikbud lpdp,program kampus merdeka aowkaow sy sgt berterimakasih kpd kemendikbud lpdp
55,Mendukung,bootcamp sih kak bootcamp ya bingung fokus mana be fe mentor arah ajar mana trus tepat program kampus merdeka trus tarik,bootcamp sih kak bootcamp ya bingung fokus mana be fe mentor arah ajar mana trus tepat program kampus merdeka trus tarik
56,Mendukung,kalo emg serasa butuh giat program mahasiswa kampus merdeka giat kampus aja produktif semester grgr km semangat sender,kalo emg serasa butuh giat program mahasiswa kampus merdeka giat kampus aja produktif semester grgr km semangat sender
57,Mendukung,tau ya kak reguler program studi independen revou kampus merdeka gratis,tau ya kak reguler program studi independen revou kampus merdeka gratis
58,Mendukung,email kampus merdeka panik aja woii ni program udah jalan,email kampus merdeka panik aja woii ni program udah jalan
59,Mendukung,liat enak plus iri mahasiswa akses program kampus merdeka hmm,liat enak plus iri mahasiswa akses program kampus merdeka hmm
60,Mendukung,ness salah ga si oper kos kamar dua temenku kos tempat tinggal byarnya taun kayak eman aja semester ga tempat iku program kampus merdeka btw udah,ness salah ga si oper kos kamar dua temenku kos tempat tinggal byarnya taun kayak eman aja semester ga tempat iku program kampus merdeka btw udah
61,Mendukung,cm semester udah program kampus merdeka aja,cm semester udah program kampus merdeka aja
62,Mendukung,mending cari cari magang sendri kampus program magang kampus merdeka,mending cari cari magang sendri kampus program magang kampus merdeka
63,Mendukung,bawaslu kabupaten kubu raya terima mahasiswa fakultas hukum universitas tanjungpura rangka laksana giat merdeka ajar kampus merdeka mbkm program magang tanggal februari sd mei,bawaslu kabupaten kubu raya terima mahasiswa fakultas hukum universitas tanjungpura rangka laksana giat merdeka ajar kampus merdeka mbkm program magang tanggal februari sd mei
64,Mendukung,ida lulus bawah smp kerja dominasi orang harap program merdeka ajar kampus merdeka mbkm implementasi kemendikbud kurang angka anggur,ida lulus bawah smp kerja dominasi orang harap program merdeka ajar kampus merdeka mbkm implementasi kemendikbud kurang angka anggur
65,Mendukung,univku program kampus merdeka konversi sks kak,univku program kampus merdeka konversi sks kak
66,Mendukung,n kalo studi independen kampus merdeka yg batch sks kuliah auto konversi program dapet uang saku bulan gatau deh kalo skrng studi independen dapet uang saku ngga,n kalo studi independen kampus merdeka yg batch sks kuliah auto konversi program dapet uang saku bulan gatau deh kalo skrng studi independen dapet uang saku ngga
67,Mendukung,coba aja program kampus merdeka coba aja yaaaaaaaaaaa,coba aja program kampus merdeka coba aja yaaaaaaaaaaa
68,Mendukung,program kampus merdeka tuju bagus unpaid zaman pns hilang guru nakes tuju manteri didik ya guru ajar sekolah,program kampus merdeka tuju bagus unpaid zaman pns hilang guru nakes tuju manteri didik ya guru ajar sekolah
69,Mendukung,gatau kak program kampus merdeka cmn mahasiswa aja,gatau kak program kampus merdeka cmn mahasiswa aja
70,Mendukung,kaya kampus dituker kkn nya pake program magang kampus merdeka lho,kaya kampus dituker kkn nya pake program magang kampus merdeka lho
71,Mendukung,ga mahasiswa aktif uny yg usaha minat giat kewirausahaan program kampus merdeka butuh org ni klo minat rep yaa makasii hehe,ga mahasiswa aktif uny yg usaha minat giat kewirausahaan program kampus merdeka butuh org ni klo minat rep yaa makasii hehe
72,Mendukung,percaya ga ideal mahasiswa agung nahan sisi peran mahasiswa serta aja mbkm organisasi pusing mikirin a sampe z hasil buah manis,percaya ga ideal mahasiswa agung nahan sisi peran mahasiswa serta aja mbkm organisasi pusing mikirin a sampe z hasil buah manis
73,Mendukung,kecuali program kampus merdeka,kecuali program kampus merdeka
74,Mendukung,halo ka ko pas kuliah intern x program kampus merdeka coba cari ig loker kota loker intern bandung gitu harap paid yaa fokusin nyari alam ilmu,halo ka ko pas kuliah intern x program kampus merdeka coba cari ig loker kota loker intern bandung gitu harap paid yaa fokusin nyari alam ilmu
75,Mendukung,fess eh lupa sem program kampus merdeka ya,fess eh lupa sem program kampus merdeka ya
76,Mendukung,bener aparat perintah jelek buruk bijak cecer hina kek program kampus merdeka kai bagus jalan tol mana masuk hasil karya perintah,bener aparat perintah jelek buruk bijak cecer hina kek program kampus merdeka kai bagus jalan tol mana masuk hasil karya perintah
77,Mendukung,program kampus merdeka kampus ajar nih mimin kasih tau faktaapa aja sih praktik dampak positif dapat mahasiswa sekolah kampus ajar,program kampus merdeka kampus ajar nih mimin kasih tau faktaapa aja sih praktik dampak positif dapat mahasiswa sekolah kampus ajar
78,Mendukung,mending mbkm sii ytta isi ormawa kampus wkw,mending mbkm sii ytta isi ormawa kampus wkw
79,Mendukung,beasiswa ya program program studi independen yg ada kampus merdeka bangkit salah mitra kampus merdeka yg bawah yayasan dicoding,beasiswa ya program program studi independen yg ada kampus merdeka bangkit salah mitra kampus merdeka yg bawah yayasan dicoding
80,Mendukung,um kakak kakak udah thailand program fs kampus merdeka,um kakak kakak udah thailand program fs kampus merdeka
81,Mendukung,mahasiswa realistis pilih program kampus merdeka magang jenis investasi janji kemudi pasca lulus bem redup dgn tiada transformasi amp inovasi tarik minat mahasiswa,mahasiswa realistis pilih program kampus merdeka magang jenis investasi janji kemudi pasca lulus bem redup dgn tiada transformasi amp inovasi tarik minat mahasiswa
82,Mendukung,kampus merdeka program magang volunteer tambah ga kembang bem cuman ikutin proker proker aja modif dikit anda kolaborasi ngikutin kembang zaman minat,kampus merdeka program magang volunteer tambah ga kembang bem cuman ikutin proker proker aja modif dikit anda kolaborasi ngikutin kembang zaman minat
83,Mendukung,pas kuliah ikut msib program kampus merdeka,pas kuliah ikut msib program kampus merdeka
84,Mendukung,udh ad program kampus merdeka sks ganti ama alam magang yg worth it dri pd bem,udh ad program kampus merdeka sks ganti ama alam magang yg worth it dri pd bem
85,Mendukung,turut program janji kaya program msib kampus merdeka program lirik apply kerja kalo udah msib otomatis udah ngerasain terjun dunia kerja langsung,turut program janji kaya program msib kampus merdeka program lirik apply kerja kalo udah msib otomatis udah ngerasain terjun dunia kerja langsung
86,Mendukung,iyapp coba aja duluu pokok plan penting usahain alam magang yaa kampus merdeka program magang jugaa,iyapp coba aja duluu pokok plan penting usahain alam magang yaa kampus merdeka program magang jugaa
87,Mendukung,ya gak tau deh min implementasi kampus merdeka udh jalan angkat kurleb angkat sebenernya aneh program ya anak didik kaya teknik dll ngambil mbkm kampus ajar trus konversi ama matkul yg kampus,ya gak tau deh min implementasi kampus merdeka udh jalan angkat kurleb angkat sebenernya aneh program ya anak didik kaya teknik dll ngambil mbkm kampus ajar trus konversi ama matkul yg kampus
88,Mendukung,karna program perintah kampus merdeka yg janji banding organisasi yg gk arah jatuh org yg organisasi anggap org budak kampus,karna program perintah kampus merdeka yg janji banding organisasi yg gk arah jatuh org yg organisasi anggap org budak kampus
89,Mendukung,enak kampus merdeka kak program program perintah kayak magang sertifikat gtu gtu gantung kaka nya si,enak kampus merdeka kak program program perintah kayak magang sertifikat gtu gtu gantung kaka nya si
90,Mendukung,ormawa in general ga tarik banding byk program pemerintahkampus yg untung mahasiswa dgn flow hasil yg utk hardsoftskill ex kampus merdeka iisma even gw nyesel fokus ormawa lupa upgrade skill yg signifikan,ormawa in general ga tarik banding byk program pemerintahkampus yg untung mahasiswa dgn flow hasil yg utk hardsoftskill ex kampus merdeka iisma even gw nyesel fokus ormawa lupa upgrade skill yg signifikan
91,Mendukung,realistis kayak krn program magang kampus merdeka pandang guna relevan dunia kerja ya pikir aja rapat pagi ketemu pagi ga hasil ya mending program kampus merdeka aja,realistis kayak krn program magang kampus merdeka pandang guna relevan dunia kerja ya pikir aja rapat pagi ketemu pagi ga hasil ya mending program kampus merdeka aja
92,Mendukung,plus milih ngejar program iisma mbkm program kampus merdeka experiencenya relevan dunia kuliah,plus milih ngejar program iisma mbkm program kampus merdeka experiencenya relevan dunia kuliah
93,Mendukung,program kampus merdeka worth it sih,program kampus merdeka worth it sih
94,Mendukung,kalo gue mahasiswa program kampus merdeka gue kek pilih ikut kampus merdeka yg udh manfaat lulus volunteer kampus bemhimpunan byk proker yg maksain tuju gjls,kalo gue mahasiswa program kampus merdeka gue kek pilih ikut kampus merdeka yg udh manfaat lulus volunteer kampus bemhimpunan byk proker yg maksain tuju gjls
95,Mendukung,karna program kampus merdeka kayak magang dll gas,karna program kampus merdeka kayak magang dll gas
96,Mendukung,mahasiswa tau value gabung organisasi organisasi jarang sosialisasi value gabung organisasi kampus udah giat sosialisasi riset teliti program kampus merdeka valuenya konversi sks mahasiswa,mahasiswa tau value gabung organisasi organisasi jarang sosialisasi value gabung organisasi kampus udah giat sosialisasi riset teliti program kampus merdeka valuenya konversi sks mahasiswa
97,Mendukung,kampus merdeka buka peluang mudah internship program organisasi model bem dpm hima dll udah gak relevan lu ikut organisasi ukm seni ukm ilmiah debat,kampus merdeka buka peluang mudah internship program organisasi model bem dpm hima dll udah gak relevan lu ikut organisasi ukm seni ukm ilmiah debat
98,Mendukung,udah makan program kampus merdeka turut,udah makan program kampus merdeka turut
99,Mendukung,udah kampus merdeka program langsung perintah plus dapet uang saku sertifikat pilih program acu hehe,udah kampus merdeka program langsung perintah plus dapet uang saku sertifikat pilih program acu hehe
100,Mendukung,faktor sih salah satu faktor besar banyak mahasiswa tarik program kampus merdeka join program kampus merdeka gabung organisasi manfaat sendiri sih,faktor sih salah satu faktor besar banyak mahasiswa tarik program kampus merdeka join program kampus merdeka gabung organisasi manfaat sendiri sih
101,Mendukung,kampus merdeka bebas mahasiswa terjun industri dr organisasi embel tunjang karir ya mending intern lgsg d industri dpt duit tuker sks program kampus merdeka bantu yg bosen dgn sistem teacher learning method duduk tok dengerin dosen,kampus merdeka bebas mahasiswa terjun industri dr organisasi embel tunjang karir ya mending intern lgsg d industri dpt duit tuker sks program kampus merdeka bantu yg bosen dgn sistem teacher learning method duduk tok dengerin dosen
102,Mendukung,program kampus merdeka mahasiswa tarik cari alam nggak tarik organisasi kampus,program kampus merdeka mahasiswa tarik cari alam nggak tarik organisasi kampus
103,Mendukung,rekomen giat kampus merdeka udah x ikut program manfaat jujur ukm duit yg ga kalo intern dapet duit mending joki tugas aja hasil,rekomen giat kampus merdeka udah x ikut program manfaat jujur ukm duit yg ga kalo intern dapet duit mending joki tugas aja hasil
104,Mendukung,menfess putus ikut jelek jelekin generalisasi gua tau kampus merdeka kayak gimana cuman lolos sempat program,menfess putus ikut jelek jelekin generalisasi gua tau kampus merdeka kayak gimana cuman lolos sempat program
105,Mendukung,anyway bagus program kampus merdeka dah lu,anyway bagus program kampus merdeka dah lu
106,Mendukung,sumpah program kampus merdeka bener giat full bgt ajg teko jam on boarding edufarmers lanjot jam siang sore opening closingan tambah neh mei tugas dl jam sore jam bengi jancokkk akehh menn bgstt,sumpah program kampus merdeka bener giat full bgt ajg teko jam on boarding edufarmers lanjot jam siang sore opening closingan tambah neh mei tugas dl jam sore jam bengi jancokkk akehh menn bgstt
107,Mendukung,an kek bijak ugm mahasiswa program kampus merdeka si jujur turut valuable guna organisasi heheh shifting interest angkat dst,an kek bijak ugm mahasiswa program kampus merdeka si jujur turut valuable guna organisasi heheh shifting interest angkat dst
108,Mendukung,mantan dps ku mas akrab aja suka mamerin program kampus merdeka bikin,mantan dps ku mas akrab aja suka mamerin program kampus merdeka bikin
109,Mendukung,iyaaa udah mikirin prospek depan alam program kampus merdeka anggap tarik companies banding ormawa,iyaaa udah mikirin prospek depan alam program kampus merdeka anggap tarik companies banding ormawa
110,Mendukung,the exhaustion of mahasiswa ngeliat proker bem himpun bakar duit amp tenaga gajelas nama kabinet ngebuat mahasiswa anti organisasi mikirin program kampus merdeka,the exhaustion of mahasiswa ngeliat proker bem himpun bakar duit amp tenaga gajelas nama kabinet ngebuat mahasiswa anti organisasi mikirin program kampus merdeka
111,Mendukung,studi independen kampus merdeka lan ya sma kyk kuliah akhir program project gtu,studi independen kampus merdeka lan ya sma kyk kuliah akhir program project gtu
112,Mendukung,bri alas suruh bos temenku jg pke bri program kampus merdeka tetangga pke bri bank rumah,bri alas suruh bos temenku jg pke bri program kampus merdeka tetangga pke bri bank rumah
113,Mendukung,butuh company yg ga kampus yes ajar tp skrng program kampus merdeka ko jalan ngembangin kompetensi sesuai butuh usaha,butuh company yg ga kampus yes ajar tp skrng program kampus merdeka ko jalan ngembangin kompetensi sesuai butuh usaha
114,Mendukung,sebenernya sistem kampus dikit udah ubah program kampus merdeka merdeka ajar,sebenernya sistem kampus dikit udah ubah program kampus merdeka merdeka ajar
115,Mendukung,yeah program kampus merdeka,yeah program kampus merdeka
116,Mendukung,kalo ga tarik masuk organisasi coba program kampus merdeka lumayan sih nambah relasi alam syarat ga belibet,kalo ga tarik masuk organisasi coba program kampus merdeka lumayan sih nambah relasi alam syarat ga belibet
117,Mendukung,kalo kampus gue sih kaya mbkm arah organisasi yg gajelas,kalo kampus gue sih kaya mbkm arah organisasi yg gajelas
118,Mendukung,jelas kenang dr mahasiswa yg ikut program kampus merdeka asistensi ajar satu didik bbrp salah satu uika,jelas kenang dr mahasiswa yg ikut program kampus merdeka asistensi ajar satu didik bbrp salah satu uika
119,Mendukung,thats true sih mahasiswa sadar organisasi tingkat skill ga ningkatin nya program kampus merdeka perintah benefit mahasiswa fokus kesitu ga salah,thats true sih mahasiswa sadar organisasi tingkat skill ga ningkatin nya program kampus merdeka perintah benefit mahasiswa fokus kesitu ga salah
120,Mendukung,jog nanya program magang kayak kampus merdeka bangkit buka ya,jog nanya program magang kayak kampus merdeka bangkit buka ya
121,Mendukung,lu tarik program kampus merdeka,lu tarik program kampus merdeka
122,Mendukung,kuat jugakelemahan dosen super muda debat buka yg bth cepat nalar kerap keteterandosen muda latar aktivis relatif fleksibel biasa ber discourseprogram kampus merdeka tolong,kuat jugakelemahan dosen super muda debat buka yg bth cepat nalar kerap keteterandosen muda latar aktivis relatif fleksibel biasa ber discourseprogram kampus merdeka tolong
123,Mendukung,cerita seru program kampus merdeka,cerita seru program kampus merdeka
124,Mendukung,betuuulll kalo kampus merdeka program kemendikbud magang sertifikat etc konversi sks iisma,betuuulll kalo kampus merdeka program kemendikbud magang sertifikat etc konversi sks iisma
125,Mendukung,yg program kampus merdeka temenku gituu tukar kemaren,yg program kampus merdeka temenku gituu tukar kemaren
126,Mendukung,program kampus merdeka anak himpun yg gak urus himanya,program kampus merdeka anak himpun yg gak urus himanya
127,Mendukung,emg real dek sial program kampus merdeka terap pas lulus himpun senior beh sengak kek kampus,emg real dek sial program kampus merdeka terap pas lulus himpun senior beh sengak kek kampus
128,Mendukung,ya allah kak moga urus mudah amp lancar ya moga kakak terima magang program kampus merdeka bank indonesia yaa aamiin makasih sempat ga nya beneran deh moga lolos amp terima yaa,ya allah kak moga urus mudah amp lancar ya moga kakak terima magang program kampus merdeka bank indonesia yaa aamiin makasih sempat ga nya beneran deh moga lolos amp terima yaa
129,Mendukung,cm gagal program kampus merdeka gagal,cm gagal program kampus merdeka gagal
130,Mendukung,banyak milih program kyk kampus merdeka gitu sih klo kampus benefitnya konversi nilai dapet sertif dapet uang saku,banyak milih program kyk kampus merdeka gitu sih klo kampus benefitnya konversi nilai dapet sertif dapet uang saku
131,Mendukung,mjb kampus merdeka yg program ya enak bgt konversi skripsi,mjb kampus merdeka yg program ya enak bgt konversi skripsi
132,Mendukung,tepat klo cari univ yg bagus karir alam turut mending jgn uin deh sempat cari alam kampus contoh program dr kampus merdekamagang karna naung kemenag,tepat klo cari univ yg bagus karir alam turut mending jgn uin deh sempat cari alam kampus contoh program dr kampus merdekamagang karna naung kemenag
133,Mendukung,kura tau sampe website program kampus merdeka bagi syarat mahasiswa ptn pts bawah naung kemendikbud cek langsung alam iseng nyoba magang merdeka yg dri uin status magang mandiri magang merdeka,kura tau sampe website program kampus merdeka bagi syarat mahasiswa ptn pts bawah naung kemendikbud cek langsung alam iseng nyoba magang merdeka yg dri uin status magang mandiri magang merdeka
134,Mendukung,tau jga nama tok uin ku bgt bilang kampus merdeka pdhl ya program dri fakultas yg sdh jalan tahun tpi ganti nama klo bukti coba aja klo kmu mahasiswa uin daftar program kampus merdeka yg resmi websitenya,tau jga nama tok uin ku bgt bilang kampus merdeka pdhl ya program dri fakultas yg sdh jalan tahun tpi ganti nama klo bukti coba aja klo kmu mahasiswa uin daftar program kampus merdeka yg resmi websitenya
135,Mendukung,program perintah kampus merdeka sksnya konversi gantiin skripsi dll,program perintah kampus merdeka sksnya konversi gantiin skripsi dll
136,Mendukung,cm nanya kampus merdeka udah terima program si offeringnya tanggal sender interview magang sore rencana nyoba interview studi independen ga rubah status,cm nanya kampus merdeka udah terima program si offeringnya tanggal sender interview magang sore rencana nyoba interview studi independen ga rubah status
137,Mendukung,nyata gua pdhl anak mene tp terima program kampus merdeka ajar about engineering,nyata gua pdhl anak mene tp terima program kampus merdeka ajar about engineering
138,Mendukung,udah tutup daftar kalo batch daftar batch aja kak buka kampus merdeka buka program studi independen,udah tutup daftar kalo batch daftar batch aja kak buka kampus merdeka buka program studi independen
139,Mendukung,mbkm aja kak dpt duit,mbkm aja kak dpt duit
