id,Tweet,Label,rm_special,remove_number,remove_p,tokens,stopword,remove_whitespace_LT,remove_whitespace_multiple,preprocess_tweet
11,"ngide bgt join program kampus merdeka, pusing sendiri https://t.co/eHCLX8TV7s",Mendukung,ngide bgt join program kampus merdeka pusing sendiri,ngide bgt join program kampus merdeka pusing sendiri,ngide bgt join program kampus merdeka pusing sendiri,"['ngide', 'bgt', 'join', 'program', 'kampus', 'merdeka', 'pusing', 'sendiri']",ngide bgt join program kampus merdeka pusing,ngide bgt join program kampus merdeka pusing,ngide bgt join program kampus merdeka pusing,ngide bgt join program kampus merdeka pusing
12,@prettynightbee_ @yourlutaa @greenview06 @worksfess Nak magang di tempat w digaji 2.8 perbulan sama kemendikbud. Soalnya program kampus merdeka,Mendukung,_ Nak magang di tempat w digaji 2.8 perbulan sama kemendikbud. Soalnya program kampus merdeka,_ Nak magang di tempat w digaji . perbulan sama kemendikbud. Soalnya program kampus merdeka, Nak magang di tempat w digaji  perbulan sama kemendikbud Soalnya program kampus merdeka,"['Nak', 'magang', 'di', 'tempat', 'w', 'digaji', 'perbulan', 'sama', 'kemendikbud', 'Soalnya', 'program', 'kampus', 'merdeka']",nak magang w digaji perbulan kemendikbud program kampus merdeka,nak magang w digaji perbulan kemendikbud program kampus merdeka,nak magang w digaji perbulan kemendikbud program kampus merdeka,nak magang w gaji bulan kemendikbud program kampus merdeka
13,@dwikimic Gimiknya keren bet ..... lanjutkan adik-adik demi dapat masuk program kampus merdeka ....,Mendukung,Gimiknya keren bet ..... lanjutkan adik adik demi dapat masuk program kampus merdeka ....,Gimiknya keren bet ..... lanjutkan adik adik demi dapat masuk program kampus merdeka ....,Gimiknya keren bet  lanjutkan adik adik demi dapat masuk program kampus merdeka ,"['Gimiknya', 'keren', 'bet', 'lanjutkan', 'adik', 'adik', 'demi', 'dapat', 'masuk', 'program', 'kampus', 'merdeka']",gimiknya keren bet lanjutkan adik adik masuk program kampus merdeka,gimiknya keren bet lanjutkan adik adik masuk program kampus merdeka,gimiknya keren bet lanjutkan adik adik masuk program kampus merdeka,gimiknya keren bet lanjut adik adik masuk program kampus merdeka
14,"Aku senang dan bersyukur bisa mendapatkan kesempatan untuk mengikuti salah satu program kampus merdeka dari kemdikbud di batch 3 dan 4. Rasanya masih ga nyangka dan ga percaya. Proud of myself, thanks for the hard work.",Mendukung,Aku senang dan bersyukur bisa mendapatkan kesempatan untuk mengikuti salah satu program kampus merdeka dari kemdikbud di batch 3 dan 4. Rasanya masih ga nyangka dan ga percaya. Proud of myself thanks for the hard work.,Aku senang dan bersyukur bisa mendapatkan kesempatan untuk mengikuti salah satu program kampus merdeka dari kemdikbud di batch  dan . Rasanya masih ga nyangka dan ga percaya. Proud of myself thanks for the hard work.,Aku senang dan bersyukur bisa mendapatkan kesempatan untuk mengikuti salah satu program kampus merdeka dari kemdikbud di batch  dan  Rasanya masih ga nyangka dan ga percaya Proud of myself thanks for the hard work,"['Aku', 'senang', 'dan', 'bersyukur', 'bisa', 'mendapatkan', 'kesempatan', 'untuk', 'mengikuti', 'salah', 'satu', 'program', 'kampus', 'merdeka', 'dari', 'kemdikbud', 'di', 'batch', 'dan', 'Rasanya', 'masih', 'ga', 'nyangka', 'dan', 'ga', 'percaya', 'Proud', 'of', 'myself', 'thanks', 'for', 'the', 'hard', 'work']",senang bersyukur kesempatan mengikuti salah program kampus merdeka kemdikbud batch ga nyangka ga percaya proud of myself thanks for the hard work,senang bersyukur kesempatan mengikuti salah program kampus merdeka kemdikbud batch ga nyangka ga percaya proud of myself thanks for the hard work,senang bersyukur kesempatan mengikuti salah program kampus merdeka kemdikbud batch ga nyangka ga percaya proud of myself thanks for the hard work,senang syukur sempat ikut salah program kampus merdeka kemdikbud batch ga nyangka ga percaya proud of myself thanks for the hard work
15,@undipmenfess Bisa ikut program kampus merdeka aja,Mendukung,Bisa ikut program kampus merdeka aja,Bisa ikut program kampus merdeka aja,Bisa ikut program kampus merdeka aja,"['Bisa', 'ikut', 'program', 'kampus', 'merdeka', 'aja']",program kampus merdeka aja,program kampus merdeka aja,program kampus merdeka aja,program kampus merdeka aja
16,"Sampe akhirnya ikut daftar program kampus merdeka. Sempat dapat omongan yang bikin down karena katanya gua ga bisa ikut. klo daftar harus yg Indeks Prestasinya tinggi. Gua cemas karena gua banyak matkul yang ngulang dan IP gua ga sampai 3,5 karena banyak matkul yg blm diambil.",Mendukung,Sampe akhirnya ikut daftar program kampus merdeka. Sempat dapat omongan yang bikin down karena katanya gua ga bisa ikut. klo daftar harus yg Indeks Prestasinya tinggi. Gua cemas karena gua banyak matkul yang ngulang dan IP gua ga sampai 3 5 karena banyak matkul yg blm diambil.,Sampe akhirnya ikut daftar program kampus merdeka. Sempat dapat omongan yang bikin down karena katanya gua ga bisa ikut. klo daftar harus yg Indeks Prestasinya tinggi. Gua cemas karena gua banyak matkul yang ngulang dan IP gua ga sampai   karena banyak matkul yg blm diambil.,Sampe akhirnya ikut daftar program kampus merdeka Sempat dapat omongan yang bikin down karena katanya gua ga bisa ikut klo daftar harus yg Indeks Prestasinya tinggi Gua cemas karena gua banyak matkul yang ngulang dan IP gua ga sampai   karena banyak matkul yg blm diambil,"['Sampe', 'akhirnya', 'ikut', 'daftar', 'program', 'kampus', 'merdeka', 'Sempat', 'dapat', 'omongan', 'yang', 'bikin', 'down', 'karena', 'katanya', 'gua', 'ga', 'bisa', 'ikut', 'klo', 'daftar', 'harus', 'yg', 'Indeks', 'Prestasinya', 'tinggi', 'Gua', 'cemas', 'karena', 'gua', 'banyak', 'matkul', 'yang', 'ngulang', 'dan', 'IP', 'gua', 'ga', 'sampai', 'karena', 'banyak', 'matkul', 'yg', 'blm', 'diambil']",sampe daftar program kampus merdeka omongan bikin down gua ga klo daftar yg indeks prestasinya gua cemas gua matkul ngulang ip gua ga matkul yg blm diambil,sampe daftar program kampus merdeka omongan bikin down gua ga klo daftar yg indeks prestasinya gua cemas gua matkul ngulang ip gua ga matkul yg blm diambil,sampe daftar program kampus merdeka omongan bikin down gua ga klo daftar yg indeks prestasinya gua cemas gua matkul ngulang ip gua ga matkul yg blm diambil,sampe daftar program kampus merdeka omong bikin down gua ga klo daftar yg indeks prestasi gua cemas gua matkul ngulang ip gua ga matkul yg blm ambil
17,"[cm] mahasiswa kupu-kupu bisa diterima magang merdeka, magang lainnya, ataupun program kampus merdeka yang lain ga? 
Ada yg dirinya pernah ngalamin sendiri?",Mendukung,[cm] mahasiswa kupu kupu bisa diterima magang merdeka magang lainnya ataupun program kampus merdeka yang lain ga? Ada yg dirinya pernah ngalamin sendiri?,[cm] mahasiswa kupu kupu bisa diterima magang merdeka magang lainnya ataupun program kampus merdeka yang lain ga? Ada yg dirinya pernah ngalamin sendiri?,cm mahasiswa kupu kupu bisa diterima magang merdeka magang lainnya ataupun program kampus merdeka yang lain ga Ada yg dirinya pernah ngalamin sendiri,"['cm', 'mahasiswa', 'kupu', 'kupu', 'bisa', 'diterima', 'magang', 'merdeka', 'magang', 'lainnya', 'ataupun', 'program', 'kampus', 'merdeka', 'yang', 'lain', 'ga', 'Ada', 'yg', 'dirinya', 'pernah', 'ngalamin', 'sendiri']",cm mahasiswa kupu kupu diterima magang merdeka magang program kampus merdeka ga yg ngalamin,cm mahasiswa kupu kupu diterima magang merdeka magang program kampus merdeka ga yg ngalamin,cm mahasiswa kupu kupu diterima magang merdeka magang program kampus merdeka ga yg ngalamin,cm mahasiswa kupu kupu terima magang merdeka magang program kampus merdeka ga yg ngalamin
18,"@Adityaaaaaaaaa5 @ram_dani_ @tirta_cipeng Bikin akun kampus merdeka-&gt;Liat jadwal registrasi dan periode program dll-&gt;Siapin dokumen2 cth: surat rekomendasi univ,transkrip nilai,dll-&gt;Upload dokumen-&gt;Pilih program magang/studi independen/dll-&gt;Tunggu pengumuman utk tes/interview",Mendukung,_dani_ _cipeng Bikin akun kampus merdeka &gt;Liat jadwal registrasi dan periode program dll &gt;Siapin dokumen2 cth: surat rekomendasi univ transkrip nilai dll &gt;Upload dokumen &gt;Pilih program magang/studi independen/dll &gt;Tunggu pengumuman utk tes/interview,_dani_ _cipeng Bikin akun kampus merdeka &gt;Liat jadwal registrasi dan periode program dll &gt;Siapin dokumen cth: surat rekomendasi univ transkrip nilai dll &gt;Upload dokumen &gt;Pilih program magang/studi independen/dll &gt;Tunggu pengumuman utk tes/interview,dani cipeng Bikin akun kampus merdeka gtLiat jadwal registrasi dan periode program dll gtSiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtUpload dokumen gtPilih program magangstudi independendll gtTunggu pengumuman utk tesinterview,"['dani', 'cipeng', 'Bikin', 'akun', 'kampus', 'merdeka', 'gtLiat', 'jadwal', 'registrasi', 'dan', 'periode', 'program', 'dll', 'gtSiapin', 'dokumen', 'cth', 'surat', 'rekomendasi', 'univ', 'transkrip', 'nilai', 'dll', 'gtUpload', 'dokumen', 'gtPilih', 'program', 'magangstudi', 'independendll', 'gtTunggu', 'pengumuman', 'utk', 'tesinterview']",dani cipeng bikin akun kampus merdeka gtliat jadwal registrasi periode program dll gtsiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtupload dokumen gtpilih program magangstudi independendll gttunggu pengumuman utk tesinterview,dani cipeng bikin akun kampus merdeka gtliat jadwal registrasi periode program dll gtsiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtupload dokumen gtpilih program magangstudi independendll gttunggu pengumuman utk tesinterview,dani cipeng bikin akun kampus merdeka gtliat jadwal registrasi periode program dll gtsiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtupload dokumen gtpilih program magangstudi independendll gttunggu pengumuman utk tesinterview,dan cipeng bikin akun kampus merdeka gtliat jadwal registrasi periode program dll gtsiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtupload dokumen gtpilih program magangstudi independendll gttunggu umum utk tesinterview
19,"@Unsoedfess1963 4 bulan, gara” 2 bulan ikutan program kampus merdeka",Mendukung,4 bulan gara? 2 bulan ikutan program kampus merdeka, bulan gara?  bulan ikutan program kampus merdeka, bulan gara  bulan ikutan program kampus merdeka,"['bulan', 'gara', 'bulan', 'ikutan', 'program', 'kampus', 'merdeka']",gara ikutan program kampus merdeka,gara ikutan program kampus merdeka,gara ikutan program kampus merdeka,gara ikut program kampus merdeka
20,@ubsansfess MMD wajjb fardhu ain. Mungkin kras sendernya ikut MMD thn dpn soalnya kata temenku MMD bisa diswitch sm program kampus merdeka*? cmiiw,Mendukung,MMD wajjb fardhu ain. Mungkin kras sendernya ikut MMD thn dpn soalnya kata temenku MMD bisa diswitch sm program kampus merdeka*? cmiiw,MMD wajjb fardhu ain. Mungkin kras sendernya ikut MMD thn dpn soalnya kata temenku MMD bisa diswitch sm program kampus merdeka*? cmiiw,MMD wajjb fardhu ain Mungkin kras sendernya ikut MMD thn dpn soalnya kata temenku MMD bisa diswitch sm program kampus merdeka cmiiw,"['MMD', 'wajjb', 'fardhu', 'ain', 'Mungkin', 'kras', 'sendernya', 'ikut', 'MMD', 'thn', 'dpn', 'soalnya', 'kata', 'temenku', 'MMD', 'bisa', 'diswitch', 'sm', 'program', 'kampus', 'merdeka', 'cmiiw']",mmd wajjb fardhu ain kras sendernya mmd thn dpn temenku mmd diswitch sm program kampus merdeka,mmd wajjb fardhu ain kras sendernya mmd thn dpn temenku mmd diswitch sm program kampus merdeka,mmd wajjb fardhu ain kras sendernya mmd thn dpn temenku mmd diswitch sm program kampus merdeka,mmd wajjb fardhu ain kras sender mmd thn dpn temenku mmd diswitch sm program kampus merdeka
